"spec","env","r","p","rd","pd"
"IFI6","B_cells_memory_CIBERSORT",0.12991674384636,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Plasma_cells_CIBERSORT",0.201002364792017,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Monocytes_CIBERSORT",0.0982058824482699,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Macrophages_M1_CIBERSORT",0.140898129513593,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Dendritic_cells_activated_CIBERSORT",0.206624633439301,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Neutrophils_CIBERSORT",0.122715028760716,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Correlation_CIBERSORT",0.133856638528379,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","RMSE_CIBERSORT",0.127430859608519,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","B_lineage_MCPcounter",0.108317780386043,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Monocytic_lineage_MCPcounter",0.0835000855179946,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","aDC",0.138535966990308,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","B-cells",0.0508665829104409,0.0396039603960396,"< 0.2","0.01 - 0.05"
"IFI6","Basophils",0.0727264278472643,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","CD4+ Tem",0.10019705361399,0.0396039603960396,"< 0.2","0.01 - 0.05"
"IFI6","CD8+ naive T-cells",0.19166658006685,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","CMP",0.0992444302639686,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","Macrophages",0.0664845609320897,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","Macrophages M1",0.0972823695214153,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Melanocytes",0.0843729147091739,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Monocytes",0.0862061721872849,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","mv Endothelial cells",0.0652008222033685,0.0495049504950495,"< 0.2","0.01 - 0.05"
"IFI6","Neutrophils",0.114798698118079,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Osteoblast",0.091051997407375,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Plasma cells",0.125271476336826,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","pro B-cells",0.0719187050375919,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Th1 cells",0.0841863485235386,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Bcells_EPIC",0.0778265233434246,0.0495049504950495,"< 0.2","0.01 - 0.05"
"IFI6","ImmuneScore_estimate",0.109227117067638,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","TumorPurity_estimate",0.0797232088640209,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","B_cell_TIMER",0.132019809925871,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","B_cells_quantiseq",0.0612617161364682,0.0396039603960396,"< 0.2","0.01 - 0.05"
"IFI6","MHC_IPS",0.123906330809152,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","AZ_IPS",0.136300390997272,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","IPS_IPS",0.159417480352384,0.0099009900990099,"< 0.2","< 0.01"
"MX1","B_cells_memory_CIBERSORT",0.106365485358212,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Plasma_cells_CIBERSORT",0.174532839576286,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Macrophages_M1_CIBERSORT",0.10814097661533,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","Dendritic_cells_activated_CIBERSORT",0.185382099261688,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Neutrophils_CIBERSORT",0.0877952779954017,0.0297029702970297,"< 0.2","0.01 - 0.05"
"MX1","Correlation_CIBERSORT",0.172263409223528,0.0099009900990099,"< 0.2","< 0.01"
"MX1","RMSE_CIBERSORT",0.177880349700404,0.0099009900990099,"< 0.2","< 0.01"
"MX1","B_lineage_MCPcounter",0.0928647642632388,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Monocytic_lineage_MCPcounter",0.11087184262713,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","aDC",0.11067548564732,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","B-cells",0.0682637339400167,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Basophils",0.0555546248987331,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","CD4+ Tem",0.133954549450327,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","CD8+ naive T-cells",0.227217943628896,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","CLP",0.0687128158967088,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","CMP",0.0857293175516486,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Macrophages M1",0.0720577970235044,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","Melanocytes",0.0722327007973968,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Neutrophils",0.0971531720246102,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Osteoblast",0.0797983905948496,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Plasma cells",0.116954569223893,0.0099009900990099,"< 0.2","< 0.01"
"MX1","pro B-cells",0.0582821416828277,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","Th1 cells",0.107526486776819,0.0099009900990099,"< 0.2","< 0.01"
"MX1","ImmuneScore_estimate",0.125453431475009,0.0099009900990099,"< 0.2","< 0.01"
"MX1","ESTIMATEScore_estimate",0.073694838716319,0.0099009900990099,"< 0.2","< 0.01"
"MX1","TumorPurity_estimate",0.113015025166074,0.0099009900990099,"< 0.2","< 0.01"
"MX1","B_cell_TIMER",0.119152880784706,0.0099009900990099,"< 0.2","< 0.01"
"MX1","B_cells_quantiseq",0.0850968262647763,0.0099009900990099,"< 0.2","< 0.01"
"MX1","MHC_IPS",0.143307188393798,0.0099009900990099,"< 0.2","< 0.01"
"MX1","CP_IPS",0.0694392892754139,0.0396039603960396,"< 0.2","0.01 - 0.05"
