"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","BP","GO:0009615","response to virus","25/81","425/18805",0.0588235294117647,13.6564996368918,17.3581579931004,5.81253159667293e-22,1.03346811788845e-18,8.816692664006e-19,"684/6355/3627/3428/10561/10964/2537/3434/3437/3553/3665/9636/3669/4599/4600/9111/4938/4939/4940/8638/83666/5359/91543/64108/11274",25
"GO:0051607","BP","GO:0051607","defense response to virus","22/81","321/18805",0.0685358255451713,15.9113111034191,17.7230589487,9.36934542524558e-21,8.32934808304332e-18,7.10590881988363e-18,"684/3627/3428/10964/2537/3434/3437/3553/3665/9636/3669/4599/4600/4938/4939/4940/8638/83666/5359/91543/64108/11274",22
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","13/81","50/18805",0.26,60.3617283950617,27.6440277277169,1.99961106924839e-20,1.18510282704121e-17,1.01103142132875e-17,"684/3428/3434/9636/3669/4057/4599/4938/4939/4940/8638/5359/91543",13
"GO:0019079","BP","GO:0019079","viral genome replication","15/81","124/18805",0.120967741935484,28.0839307048984,19.9017282028741,4.58197116648259e-18,2.03668618350151e-15,1.73753169760563e-15,"684/6347/6355/3428/3434/9636/3669/4057/4599/4938/4939/4940/8638/5359/91543",15
"GO:0048525","BP","GO:0048525","negative regulation of viral process","13/81","76/18805",0.171052631578947,39.7116634178038,22.2412734105382,7.88370477455496e-18,2.80344541783175e-15,2.39166706950183e-15,"684/3428/3434/9636/3669/4057/4599/4938/4939/4940/8638/5359/91543",13
"GO:0045069","BP","GO:0045069","regulation of viral genome replication","13/81","80/18805",0.1625,37.7260802469136,21.6509508240371,1.60495048050595e-17,4.75600325723263e-15,4.05742744282293e-15,"684/3428/3434/9636/3669/4057/4599/4938/4939/4940/8638/5359/91543",13
"GO:1903900","BP","GO:1903900","regulation of viral life cycle","14/81","115/18805",0.121739130434783,28.2630166398282,19.2879686992896,5.86780779923335e-17,1.49042318100527e-14,1.27150541935267e-14,"684/3428/3434/9636/3669/27074/4057/4599/4938/4939/4940/8638/5359/91543",14
"GO:0050792","BP","GO:0050792","regulation of viral process","14/81","142/18805",0.0985915492957746,22.8890627716919,17.2206256253702,1.20747044540625e-15,2.68360306491538e-13,2.28942751556632e-13,"684/3428/3434/9636/3669/27074/4057/4599/4938/4939/4940/8638/5359/91543",14
"GO:0019058","BP","GO:0019058","viral life cycle","17/81","295/18805",0.0576271186440678,13.3787403222431,14.094593845281,6.93286779219983e-15,1.36962654828125e-12,1.16845175304795e-12,"684/6347/6355/983/3428/3434/9636/3669/27074/4057/4599/4938/4939/4940/8638/5359/91543",17
"GO:0016032","BP","GO:0016032","viral process","19/81","421/18805",0.0451306413301663,10.4775519779479,12.9355688433958,1.2657062432207e-14,2.25042570044641e-12,1.91987652261162e-12,"684/6347/6355/983/3428/3434/3665/9636/3669/27074/4057/4599/4938/4939/4940/8638/83666/5359/91543",19
"GO:0140374","BP","GO:0140374","antiviral innate immune response","9/81","60/18805",0.15,34.8240740740741,17.2594572288281,3.99796096785014e-12,6.46215872803414e-10,5.51297775566704e-10,"3627/3434/3437/4599/4938/4939/4940/8638/11274",9
"GO:0045088","BP","GO:0045088","regulation of innate immune response","16/81","482/18805",0.033195020746888,7.70657240920035,9.8105681888621,1.96862625733444e-10,2.87688391744095e-08,2.45431870524682e-08,"383/3428/3430/3665/9636/4057/23643/9111/4938/4940/8638/83666/5359/91543/11274/2099",16
"GO:0034340","BP","GO:0034340","response to type I interferon","9/81","92/18805",0.0978260869565217,22.7113526570048,13.7302169956483,2.10345843232465e-10,2.87688391744095e-08,2.45431870524682e-08,"3434/3665/9636/4599/4938/4939/4940/8638/11274",9
"GO:0140888","BP","GO:0140888","interferon-mediated signaling pathway","9/81","112/18805",0.0803571428571429,18.655753968254,12.3260547129952,1.24147740589212e-09,1.576676305483e-07,1.34508942999289e-07,"383/3665/9636/4938/4939/4940/8638/83666/11274",9
"GO:0071357","BP","GO:0071357","cellular response to type I interferon","8/81","86/18805",0.0930232558139535,21.5963250071777,12.591166133999,3.36484838486036e-09,3.74299617916022e-07,3.19321383823922e-07,"3434/3665/9636/4938/4939/4940/8638/11274",8
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","14/81","425/18805",0.0329411764705882,7.6476397966594,9.11711651579311,3.36827552680335e-09,3.74299617916022e-07,3.19321383823922e-07,"383/3428/3430/3665/4057/23643/9111/4938/4940/8638/83666/5359/91543/2099",14
"GO:0002832","BP","GO:0002832","negative regulation of response to biotic stimulus","9/81","135/18805",0.0666666666666667,15.477366255144,11.1033134758062,6.52200265198145e-09,6.82124747954295e-07,5.81932249009614e-07,"383/114769/3428/9636/4057/9111/4938/4940/11274",9
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response","13/81","395/18805",0.0329113924050633,7.64072511329895,8.77314831518021,1.31243438595715e-08,1.29639352123989e-06,1.10597540945278e-06,"3428/3430/3665/4057/23643/9111/4938/4940/8638/83666/5359/91543/2099",13
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","11/81","288/18805",0.0381944444444444,8.86724108367627,8.84915299850783,4.21188438921173e-08,3.94143707579919e-06,3.36250714950366e-06,"3428/3430/3665/4057/23643/9111/4938/4940/8638/91543/2099",11
"GO:0002758","BP","GO:0002758","innate immune response-activating signaling pathway","11/81","305/18805",0.0360655737704918,8.37300141671727,8.53840375269583,7.54700631019054e-08,6.70928860975939e-06,5.72380846999188e-06,"3428/3430/3665/4057/23643/9111/4938/4940/8638/91543/2099",11
"GO:0060337","BP","GO:0060337","type I interferon-mediated signaling pathway","7/81","85/18805",0.0823529411764706,19.1190994916485,11.0118798663234,7.9570215493335e-08,6.73694491176903e-06,5.74740253262635e-06,"3665/9636/4938/4939/4940/8638/11274",7
"GO:0002218","BP","GO:0002218","activation of innate immune response","11/81","325/18805",0.0338461538461538,7.85773979107312,8.20238242490092,1.43287481271533e-07,1.15802337136721e-05,9.87929476135305e-06,"3428/3430/3665/4057/23643/9111/4938/4940/8638/91543/2099",11
"GO:0032608","BP","GO:0032608","interferon-beta production","6/81","60/18805",0.1,23.2160493827161,11.3362143565202,2.2006594308266e-07,1.63032186167071e-05,1.3908553683426e-05,"3665/9636/9111/4938/4939/4940",6
"GO:0032648","BP","GO:0032648","regulation of interferon-beta production","6/81","60/18805",0.1,23.2160493827161,11.3362143565202,2.2006594308266e-07,1.63032186167071e-05,1.3908553683426e-05,"3665/9636/9111/4938/4939/4940",6
"GO:0045824","BP","GO:0045824","negative regulation of innate immune response","7/81","100/18805",0.07,16.2512345679012,10.0576023054938,2.45049740569723e-07,1.74279375493187e-05,1.48680705751987e-05,"383/3428/9636/9111/4938/4940/11274",7
"GO:0035456","BP","GO:0035456","response to interferon-beta","5/81","35/18805",0.142857142857143,33.1657848324515,12.5274983096244,3.83804928436991e-07,2.62463524138835e-05,2.23912106023362e-05,"684/3428/4938/5359/54739",5
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","9/81","232/18805",0.0387931034482759,9.00622605363985,8.07047554163333,6.84055614592888e-07,4.50463289905983e-05,3.84297910576355e-05,"114769/6347/129607/3627/2048/3553/4057/23643/4318",9
"GO:0032728","BP","GO:0032728","positive regulation of interferon-beta production","5/81","41/18805",0.121951219512195,28.3122553447757,11.5147654158262,8.68267656903739e-07,5.51349962133874e-05,4.7036605022492e-05,"3665/9636/4938/4939/4940",5
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","9/81","246/18805",0.0365853658536585,8.4936766034327,7.78132453761271,1.11428218528285e-06,6.83170250149276e-05,5.82824184752298e-05,"114769/6347/129607/3627/2048/3553/4057/23643/4318",9
"GO:0032479","BP","GO:0032479","regulation of type I interferon production","7/81","129/18805",0.0542635658914729,12.597856254187,8.69358608092534,1.38451766957166e-06,7.75993206456958e-05,6.62013030906682e-05,"3665/9636/9111/4938/4939/4940/54739",7
"GO:0032606","BP","GO:0032606","type I interferon production","7/81","129/18805",0.0542635658914729,12.597856254187,8.69358608092534,1.38451766957166e-06,7.75993206456958e-05,6.62013030906682e-05,"3665/9636/9111/4938/4939/4940/54739",7
"GO:0060338","BP","GO:0060338","regulation of type I interferon-mediated signaling pathway","5/81","45/18805",0.111111111111111,25.7956104252401,10.9529967467865,1.39661319497315e-06,7.75993206456958e-05,6.62013030906682e-05,"3665/9636/4938/4940/11274",5
"GO:0035455","BP","GO:0035455","response to interferon-alpha","4/81","20/18805",0.2,46.4320987654321,13.3702803096398,1.46841020956406e-06,7.91161622001484e-05,6.74953464746989e-05,"684/27074/4600/4938",4
"GO:0001959","BP","GO:0001959","regulation of cytokine-mediated signaling pathway","8/81","189/18805",0.0423280423280423,9.82689920961526,8.02165905173358,1.54321275521496e-06,8.07009493756527e-05,6.88473554261533e-05,"383/114769/3665/9636/4938/4940/83666/11274",8
"GO:0060759","BP","GO:0060759","regulation of response to cytokine stimulus","8/81","201/18805",0.0398009950248756,9.24021865978748,7.725060936765,2.44464324162871e-06,0.000124187876674738,0.000105946794321413,"383/114769/3665/9636/4938/4940/83666/11274",8
