"spec","env","r","p","rd","pd"
"IFI6","T_cells_MCPcounter",0.128668323070338,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Cytotoxic_lymphocytes_MCPcounter",0.0642566319949268,0.0495049504950495,"< 0.2","0.01 - 0.05"
"IFI6","Monocytic_lineage_MCPcounter",0.113435915984547,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Neutrophils_MCPcounter",0.272676268214977,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Endothelial_cells_MCPcounter",0.258750318189671,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Fibroblasts_MCPcounter",0.276920198663647,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","aDC",0.374023308089412,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","B-cells",0.296804264323179,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Basophils",0.101323652241087,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","CD4+ memory T-cells",0.278788599753914,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","CD4+ Tem",0.265933597629799,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","CD8+ Tcm",0.315123777533817,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","CD8+ Tem",0.224950134502756,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Class-switched memory B-cells",0.317767857600237,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","DC",0.114301763617543,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Epithelial cells",0.4383094357719,0.0099009900990099,">= 0.4","< 0.01"
"IFI6","Erythrocytes",0.274564578742364,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Keratinocytes",0.466679406974084,0.0099009900990099,">= 0.4","< 0.01"
"IFI6","Macrophages",0.342777927272958,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Macrophages M1",0.434054792985018,0.0099009900990099,">= 0.4","< 0.01"
"IFI6","Melanocytes",0.122646355552978,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Memory B-cells",0.297085505947803,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","MEP",0.240220511081904,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Monocytes.x",0.121859119509667,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","MPP",0.199952149510296,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","MSC",0.0931597387601197,0.0099009900990099,"< 0.2","< 0.01"
