sampleid,DISEASE,IFI6,MX1,NMI,OAS3,OASL,SAMD9,UBE2L6
GSM2066635,1,0.930266984,0.927952386,0.985255133,0.966983184,0.857042514,0.865238707,1
GSM2066636,1,1,0.937039412,0.892032354,0.889209424,0.892702415,0.812073328,0.77552458
GSM2066637,1,0.920223745,0.865368816,0.870428521,0.894862769,0.907568852,0.777155172,0.848935113
GSM2066638,1,0.993449825,0.888209594,0.869923167,0.989632327,0.940023739,0.824025561,0.95748437
GSM2066639,1,0.876797109,0.884914707,0.917699166,0.947495666,0.85015358,0.751996101,0.74857684
GSM2066640,1,0.773788201,0.715816429,0.899465924,0.655225999,0.827838924,0.756105517,0.777523835
GSM2066641,1,0.96797978,0.938090525,0.948470045,1,0.943085107,1,0.853925639
GSM2066642,1,0.953569121,0.867758559,0.848941402,0.936491603,0.847854361,0.83380146,0.725389953
GSM2066643,1,0.532408902,0.564263742,0.737991964,0.594941744,0.672164971,0.760288477,0.526709922
GSM2066644,1,0.989308524,1,1,0.971313772,1,0.963259907,0.975719772
GSM2066645,1,0.758166222,0.772878584,0.770933324,0.748490189,0.910608547,0.723462751,0.549935628
GSM2066646,1,0.934157777,0.936423788,0.908097922,0.925566673,0.953880356,0.953772552,0.636758981
GSM2066647,1,0.996516563,0.925708336,0.913075633,0.938772866,0.887353224,0.946513356,0.624517394
GSM2066648,1,0.795662369,0.729827075,0.835673632,0.777667205,0.735789785,0.625043085,0.822408653
GSM2066649,1,0.930563239,0.819566605,0.737787379,0.806974877,0.928328489,0.808488841,0.767145115
GSM2066650,1,0.743652053,0.698052764,0.814112903,0.741766264,0.711429229,0.604805057,0.782655863
GSM2066651,1,0.852409031,0.779129522,0.720744062,0.742400968,0.749661172,0.630131665,0.662282965
GSM2066652,1,0.771990123,0.612294397,0.732754489,0.686180256,0.83469266,0.745173075,0.587427309
GSM2066653,0,0.648843963,0.518554534,0.766577993,0.630315231,0.770589023,0.722874739,0.555593523
GSM2066654,1,0.921195776,0.849045854,0.903454685,0.759395057,0.907991145,0.94870977,0.823439065
GSM2066655,1,0.978358996,0.821948314,0.862539309,0.822509566,0.968769862,0.8948946,0.915574923
GSM2066656,1,0.800270391,0.704453746,0.620774788,0.682031738,0.869354936,0.572682517,0.530760358
GSM2066657,0,0.643999785,0.564471889,0.80717755,0.693208737,0.77230513,0.460833107,0.656078708
GSM2066658,1,0.802328342,0.685280476,0.846957988,0.705524045,0.924041696,0.762839072,0.754504307
GSM2066659,1,0.840526861,0.832269913,0.819907451,0.789737405,0.850649238,0.732908278,0.936533654
GSM2066660,1,0.86792521,0.837521153,0.740713121,0.774003791,0.886174048,0.735103378,0.739068139
GSM2066661,1,0.786774261,0.723551844,0.77079457,0.733327075,0.784440471,0.623287968,0.785728673
GSM2066662,0,0.14338191,0.136919254,0.40369103,0.157511627,0.042177471,0.026742608,0.175248866
GSM2066663,0,0.027739178,0.043114717,0.318792014,0.023737081,0.028063602,0.012689382,0.07644768
GSM2066664,0,0.114345438,0.093538497,0.384166574,0.074853721,0.163876974,0.013006143,0.170356115
GSM2066665,0,0,0.135914079,0.37653068,0.164075035,0,0.095169725,0
GSM2066666,0,0.027739178,0.056637633,0.255080308,0.165791464,0.188498662,0.149116444,0.077015932
GSM2066667,0,0.015224809,0,0,0,0.077343579,0,0.179231601
