"","ID","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","Group"
"1","GSM1228861",0.0947671816698375,0,0,0,0,0.300637062185535,0,0,0.0792788318962998,0.165094129539565,0.218780753390267,0,0,0.0207789225683831,0,0,0.0737838200936199,0,0,0.039008441404782,0.00787085725171037,0,"healthy"
"2","GSM1228862",0.15215048373241,0,0,0.0326006834303154,0.554971712606021,0.0681007116060649,0,0,0,0.0455723986386409,0.0571176294675365,0,0,0,0.00363129369252247,0,0.0345698644478992,0,0.0512852223785903,0,0,0,"healthy"
"3","GSM1228863",0,0,0,0,0,0.341452574266761,0,0,0,0,0.180860200877057,0.0384038447900487,0,0,0,0.00969930279655166,0.0305693741426045,0.0279836938778267,0.100755467138696,0.0105491349438983,0.0575384616426915,0.202187945523864,"disease"
"4","GSM1228864",0.0821106273091412,0,0,0,0,0,0,0.0604358546100752,0.00888421851073956,0,0,0.106972598226386,0,0,0,0.0201596869749973,0,0.0185882826668957,0,0,0,0.702848731701765,"disease"
"5","GSM1228865",0.0968838637018253,0,0,0,0,0,0,0,0.00250793053322259,0,0.183088915559013,0,0.499244296827689,0.043466191283947,0,0.0608500942327024,0,0.076723878233094,0.0372348296285071,0,0,0,"disease"
"6","GSM1228866",0.0506881496693996,0,0.0239555534302554,0.0820196876012062,0.352398672572858,0,0.0103282145732224,0.0053778768842496,0.16360332666076,0,0,0.0113240484295537,0,0.0641571598689143,0,0,0,0.0598759955956929,0.176271314713888,0,0,0,"healthy"
"7","GSM1228867",0.225572107894061,0,0,0,0.215774483624298,0,0.168252089694508,0.01880534183464,0.0945163604061314,0,0.263681540097409,0,0,0,0,0,0.00581412268995039,0,0.00758395375900235,0,0,0,"healthy"
"8","GSM1228868",0,0.334115181575839,0.020851140393345,0,0,0.347069047695555,0,0,0,0.146387225995149,0,0,0,0,0.00965009685083657,0.0870699253539734,0.00229340548384318,0,0.0342533877162846,0,0.0183105889351743,0,"healthy"
"9","GSM1228869",0.160570787018,0,0,0.12534030044881,0.51919381403685,0.094174294517295,0.032606553320674,0.00406157559434434,0,0,0.0238649185296387,0,0,0,0,0,0,0,0,0.0157366090596026,0.0244511474747854,0,"healthy"
"10","GSM1228870",0.0531290788775745,0,0,0,0,0.0568259039734935,0,0.0908318623574919,0.000216864501202438,0,0.269259823821324,0.123927683354737,0,0,0,0,0.00577053799634763,0,0.0861891827487525,0,0.206559828338443,0.107289234030634,"healthy"
