ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201400_at	7.30e-14	3.66e-18	1.12e+01	30.771802	0.72398109	PSMB3	proteasome subunit beta 3
229860_x_at	2.22e-13	2.23e-17	1.08e+01	29.025407	0.93010952	C4orf48	chromosome 4 open reading frame 48
210386_s_at	2.43e-13	3.65e-17	1.07e+01	28.548334	0.68749314	MTX1	metaxin 1
201041_s_at	2.86e-13	5.73e-17	1.06e+01	28.113387	1.5086423	DUSP1	dual specificity phosphatase 1
208864_s_at	5.13e-13	1.29e-16	1.04e+01	27.331292	0.77552697	TXN	thioredoxin
223017_at	1.43e-12	4.29e-16	1.01e+01	26.165027	0.58418722	TXNDC12	thioredoxin domain containing 12
209189_at	1.43e-12	5.91e-16	1.01e+01	25.856362	2.28492145	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
1569594_a_at	1.43e-12	6.38e-16	-1.01e+01	25.78224	-0.76030827	NEMF	nuclear export mediator factor
209058_at	1.43e-12	6.46e-16	1.01e+01	25.770094	0.65066755	EDF1	endothelial differentiation related factor 1
204265_s_at	2.27e-12	1.14e-15	9.93	25.221579	0.59858476	GPSM3	G-protein signaling modulator 3
217962_at	3.11e-12	1.71e-15	9.84	24.824579	0.78663383	NOP10	NOP10 ribonucleoprotein
201676_x_at	3.26e-12	1.96e-15	9.81	24.695161	0.75246116	PSMA1	proteasome subunit alpha 1
213735_s_at	3.41e-12	2.22e-15	9.78	24.572534	0.59303461	COX5B	cytochrome c oxidase subunit 5B
203028_s_at	3.55e-12	2.49e-15	9.75	24.462918	0.8596577	CYBA	cytochrome b-245 alpha chain
201441_at	3.96e-12	2.98e-15	9.71	24.28841	0.81164975	COX6B1	cytochrome c oxidase subunit 6B1
218302_at	4.34e-12	3.48e-15	9.68	24.138717	0.75951986	PSENEN	presenilin enhancer gamma-secretase subunit
202859_x_at	5.60e-12	4.78e-15	9.61	23.832266	4.38078262	CXCL8	C-X-C motif chemokine ligand 8
208659_at	8.17e-12	7.37e-15	9.51	23.411085	0.7814061	CLIC1	chloride intracellular channel 1
209774_x_at	1.05e-11	1.04e-14	9.44	23.078924	3.46254697	CXCL2	C-X-C motif chemokine ligand 2
204220_at	1.05e-11	1.08e-14	9.43	23.039094	0.55874335	GMFG	glia maturation factor gamma
213571_s_at	1.05e-11	1.10e-14	9.43	23.022914	0.7134576	EIF4E2	eukaryotic translation initiation factor 4E family member 2
217898_at	1.10e-11	1.28e-14	9.39	22.879706	0.52515199	EMC7	ER membrane protein complex subunit 7
227983_at	1.10e-11	1.29e-14	9.39	22.865634	0.91845601	RILPL2	Rab interacting lysosomal protein like 2
